,recovered US,diff_pct recovered US,deaths US,diff_pct deaths US,confirmed US,diff_pct confirmed US,recovered United Kingdom,diff_pct recovered United Kingdom,deaths United Kingdom,diff_pct deaths United Kingdom,confirmed United Kingdom,diff_pct confirmed United Kingdom
2020-01-22,,,,,,,,,,,,
2020-01-23,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-01-24,0.0,,0.0,,1.0,inf,0.0,,0.0,,0.0,
2020-01-25,0.0,,0.0,,0.0,-1.0,0.0,,0.0,,0.0,
2020-01-26,0.0,,0.0,,3.0,inf,0.0,,0.0,,0.0,
2020-01-27,0.0,,0.0,,0.0,-1.0,0.0,,0.0,,0.0,
2020-01-28,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-01-29,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-01-30,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-01-31,0.0,,0.0,,2.0,inf,0.0,,0.0,,2.0,inf
2020-02-01,0.0,,0.0,,1.0,-0.5,0.0,,0.0,,0.0,-1.0
2020-02-02,0.0,,0.0,,0.0,-1.0,0.0,,0.0,,0.0,
2020-02-03,0.0,,0.0,,3.0,inf,0.0,,0.0,,0.0,
2020-02-04,0.0,,0.0,,0.0,-1.0,0.0,,0.0,,0.0,
2020-02-05,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-02-06,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-02-07,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,inf
2020-02-08,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,-1.0
2020-02-09,3.0,inf,0.0,,0.0,,0.0,,0.0,,0.0,
2020-02-10,0.0,-1.0,0.0,,0.0,,0.0,,0.0,,5.0,inf
2020-02-11,0.0,,0.0,,1.0,inf,0.0,,0.0,,0.0,-1.0
2020-02-12,0.0,,0.0,,0.0,-1.0,1.0,inf,0.0,,1.0,inf
2020-02-13,0.0,,0.0,,1.0,inf,0.0,-1.0,0.0,,0.0,-1.0
2020-02-14,0.0,,0.0,,0.0,-1.0,0.0,,0.0,,0.0,
2020-02-15,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-02-16,0.0,,0.0,,0.0,,7.0,inf,0.0,,0.0,
2020-02-17,0.0,,0.0,,0.0,,0.0,-1.0,0.0,,0.0,
2020-02-18,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-02-19,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-02-20,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-02-21,2.0,inf,0.0,,2.0,inf,0.0,,0.0,,0.0,
2020-02-22,0.0,-1.0,0.0,,0.0,-1.0,0.0,,0.0,,0.0,
2020-02-23,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020-02-24,0.0,,0.0,,36.0,inf,0.0,,0.0,,4.0,inf
2020-02-25,1.0,inf,0.0,,0.0,-1.0,0.0,,0.0,,0.0,-1.0
2020-02-26,0.0,-1.0,0.0,,6.0,inf,0.0,,0.0,,0.0,
2020-02-27,0.0,,0.0,,1.0,-0.8333333333333334,0.0,,0.0,,2.0,inf
2020-02-28,1.0,inf,0.0,,2.0,1.0,0.0,,0.0,,5.0,1.5
2020-02-29,0.0,-1.0,1.0,inf,8.0,3.0,0.0,,0.0,,3.0,-0.4
2020-03-01,0.0,,0.0,-1.0,6.0,-0.25,0.0,,0.0,,13.0,3.333333333333333
2020-03-02,0.0,,5.0,inf,24.0,3.0,0.0,,0.0,,4.0,-0.6923076923076923
2020-03-03,0.0,,1.0,-0.8,20.0,-0.16666666666666663,0.0,,0.0,,11.0,1.75
2020-03-04,0.0,,4.0,3.0,31.0,0.55,0.0,,0.0,,35.0,2.1818181818181817
2020-03-05,0.0,,1.0,-0.75,68.0,1.193548387096774,0.0,,1.0,inf,30.0,-0.1428571428571429
2020-03-06,0.0,,2.0,1.0,45.0,-0.3382352941176471,0.0,,1.0,0.0,48.0,0.6000000000000001
2020-03-07,0.0,,3.0,0.5,140.0,2.111111111111111,10.0,inf,0.0,-1.0,43.0,-0.10416666666666663
2020-03-08,0.0,,4.0,0.33333333333333326,116.0,-0.17142857142857137,0.0,-1.0,1.0,inf,67.0,0.558139534883721
2020-03-09,0.0,,1.0,-0.75,65.0,-0.43965517241379315,0.0,,1.0,0.0,48.0,-0.28358208955223885
2020-03-10,1.0,inf,6.0,5.0,376.0,4.7846153846153845,1.0,inf,2.0,1.0,62.0,0.29166666666666674
2020-03-11,0.0,-1.0,8.0,0.33333333333333326,322.0,-0.1436170212765957,0.0,-1.0,2.0,0.0,75.0,0.20967741935483875
2020-03-12,4.0,inf,4.0,-0.5,382.0,0.18633540372670798,0.0,,0.0,-1.0,0.0,-1.0
2020-03-13,0.0,-1.0,7.0,0.75,516.0,0.3507853403141361,0.0,,0.0,,343.0,inf
2020-03-14,0.0,,7.0,0.0,548.0,0.0620155038759691,0.0,,13.0,inf,342.0,-0.002915451895043719
2020-03-15,0.0,,9.0,0.2857142857142858,772.0,0.4087591240875912,0.0,,0.0,-1.0,1.0,-0.9970760233918129
2020-03-16,5.0,inf,22.0,1.4444444444444446,1133.0,0.46761658031088094,2.0,inf,35.0,inf,406.0,405.0
2020-03-17,0.0,-1.0,23.0,0.045454545454545414,1789.0,0.5789938217122683,32.0,15.0,0.0,-1.0,409.0,0.00738916256157629
2020-03-18,88.0,inf,10.0,-0.5652173913043479,1362.0,-0.23868082727780882,14.0,-0.5625,16.0,inf,682.0,0.6674816625916871
2020-03-19,16.0,-0.8181818181818181,82.0,7.199999999999999,5894.0,3.3274596182085165,0.0,-1.0,66.0,3.125,74.0,-0.8914956011730205
2020-03-20,26.0,0.625,44.0,-0.46341463414634143,5423.0,-0.07991177468612143,0.0,,40.0,-0.3939393939393939,1298.0,16.54054054054054
2020-03-21,29.0,0.11538461538461542,63.0,0.4318181818181819,6389.0,0.17813018624377652,0.0,,56.0,0.3999999999999999,1053.0,-0.18875192604006163
2020-03-22,2.0,-0.9310344827586207,110.0,0.746031746031746,7787.0,0.21881358585068078,0.0,,48.0,-0.1428571428571429,678.0,-0.3561253561253561
2020-03-23,0.0,-1.0,140.0,0.2727272727272727,10571.0,0.35751894182612043,0.0,,54.0,0.125,981.0,0.44690265486725655
2020-03-24,170.0,inf,149.0,0.06428571428571428,9893.0,-0.06413773531359379,73.0,inf,87.0,0.6111111111111112,1438.0,0.4658511722731906
2020-03-25,13.0,-0.9235294117647059,236.0,0.5838926174496644,12038.0,0.21681997371879103,0.0,-1.0,43.0,-0.5057471264367817,1476.0,0.026425591098748313
2020-03-26,320.0,23.615384615384617,267.0,0.13135593220338992,18058.0,0.5000830702774548,10.0,inf,114.0,1.6511627906976742,2172.0,0.4715447154471544
2020-03-27,188.0,-0.4125,372.0,0.3932584269662922,17821.0,-0.013124377007420529,1.0,-0.9,181.0,0.5877192982456141,2933.0,0.3503683241252302
2020-03-28,203.0,0.07978723404255317,445.0,0.196236559139785,19821.0,0.11222714774704001,0.0,-1.0,260.0,0.43646408839779016,2567.0,-0.12478690760313671
2020-03-29,1593.0,6.847290640394089,441.0,-0.008988764044943864,19408.0,-0.02083648655466419,0.0,,210.0,-0.1923076923076923,2468.0,-0.038566419945461616
2020-03-30,2979.0,0.8700564971751412,511.0,0.15873015873015883,20921.0,0.07795754328112126,20.0,inf,180.0,-0.1428571428571429,2673.0,0.08306320907617515
2020-03-31,1380.0,-0.5367573011077542,895.0,0.7514677103718199,26365.0,0.2602170068352374,8.0,-0.6,382.0,1.1222222222222222,3028.0,0.13280957725402165
2020-04-01,1450.0,0.050724637681159424,884.0,-0.012290502793296132,25200.0,-0.044187369618812866,0.0,-1.0,564.0,0.4764397905759161,4384.0,0.4478203434610304
2020-04-02,527.0,-0.636551724137931,1169.0,0.32239819004524883,30081.0,0.19369047619047608,13.0,inf,569.0,0.00886524822695045,4308.0,-0.017335766423357657
